Rice Seed,Model,Feature,Precision,Recall,F1-score,Accuracy,Best Param
HuongThom,SVM,Basic GLCM GIST,0.9555873925501432,0.9501424501424501,0.9528571428571428,0.9518248175182482,"{'C': 0.2, 'kernel': 'linear'}"
HuongThom,RF,Basic GLCM GIST,0.897841726618705,0.8888888888888888,0.8933428775948461,0.8912408759124087,"{'criterion': 'gini', 'max_depth': 30, 'n_estimators': 200}"
HuongThom,KNN,LBP GIST GLCM,0.7169811320754716,0.8660968660968661,0.7845161290322581,0.7562043795620438,{'n_neighbors': 10}
HuongThom,SVM,LBP GIST GLCM,0.8744710860366713,0.8831908831908832,0.8788093550673282,0.8751824817518248,"{'C': 0.1, 'kernel': 'linear'}"
HuongThom,RF,LBP GIST GLCM,0.8777173913043478,0.9202279202279202,0.8984700973574409,0.8934306569343066,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 200}"
HuongThom,KNN,All,0.7851140456182473,0.9316239316239316,0.8521172638436482,0.8343065693430657,{'n_neighbors': 10}
HuongThom,SVM,All,0.9529914529914529,0.9529914529914529,0.9529914529914529,0.9518248175182482,"{'C': 0.2, 'kernel': 'linear'}"
HuongThom,RF,All,0.9063400576368876,0.896011396011396,0.9011461318051576,0.8992700729927007,"{'criterion': 'gini', 'max_depth': 20, 'n_estimators': 120}"
Nep87,KNN,Basic,0.967816091954023,0.9633867276887872,0.9655963302752294,0.9683877766069547,{'n_neighbors': 10}
Nep87,SVM,Basic,0.9615384615384616,0.9725400457665904,0.9670079635949943,0.9694415173867229,"{'C': 0.5, 'kernel': 'linear'}"
Nep87,RF,Basic,0.9678899082568807,0.965675057208238,0.9667812142038946,0.9694415173867229,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 140}"
Nep87,KNN,LBP,0.679814385150812,0.6704805491990846,0.6751152073732719,0.702845100105374,{'n_neighbors': 10}
Nep87,SVM,LBP,0.7407407407407407,0.7780320366132724,0.7589285714285714,0.7723919915700738,"{'C': 1, 'kernel': 'rbf'}"
Nep87,RF,LBP,0.691358024691358,0.7688787185354691,0.7280606717226435,0.7355110642781876,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 100}"
Nep87,KNN,GLCM,0.919908466819222,0.919908466819222,0.919908466819222,0.9262381454162276,{'n_neighbors': 10}
Nep87,SVM,GLCM,0.9534883720930233,0.9382151029748284,0.9457900807381776,0.9504741833508957,"{'C': 0.5, 'kernel': 'linear'}"
Nep87,RF,GLCM,0.9264367816091954,0.9221967963386728,0.9243119266055045,0.9304531085353003,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 140}"
Nep87,KNN,Gist,0.6530249110320284,0.8398169336384439,0.7347347347347347,0.7207586933614331,{'n_neighbors': 10}
Nep87,SVM,Gist,0.87527352297593,0.9153318077803204,0.8948545861297539,0.9009483667017913,"{'C': 0.3, 'kernel': 'linear'}"
Nep87,RF,Gist,0.9021739130434783,0.9496567505720824,0.9253065774804905,0.9293993677555321,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 120}"
Nep87,KNN,Basic LBP,0.9651972157772621,0.9519450800915332,0.9585253456221198,0.9620653319283456,{'n_neighbors': 10}
Nep87,SVM,Basic LBP,0.9726027397260274,0.9748283752860412,0.9737142857142858,0.9757639620653319,"{'C': 1, 'kernel': 'linear'}"
Nep87,RF,Basic LBP,0.9678899082568807,0.965675057208238,0.9667812142038946,0.9694415173867229,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 70}"
Nep87,KNN,Basic GLCM,0.9530201342281879,0.9748283752860412,0.9638009049773756,0.9662802950474183,{'n_neighbors': 5}
Nep87,SVM,Basic GLCM,0.9748283752860412,0.9748283752860412,0.9748283752860412,0.9768177028451,"{'C': 0.8, 'kernel': 'linear'}"
Nep87,RF,Basic GLCM,0.9681818181818181,0.9748283752860412,0.9714937286202965,0.9736564805057956,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 70}"
Nep87,KNN,Basic Gist,0.806640625,0.9450800915331807,0.8703898840885143,0.8703898840885143,{'n_neighbors': 10}
Nep87,SVM,Basic Gist,0.9464285714285714,0.9702517162471396,0.9581920903954803,0.9610115911485775,"{'C': 0.1, 'kernel': 'linear'}"
Nep87,RF,Basic Gist,0.9660633484162896,0.977116704805492,0.9715585893060296,0.9736564805057956,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 180}"
Nep87,KNN,Gist GLCM,0.7424242424242424,0.897025171624714,0.8124352331606217,0.80927291886196,{'n_neighbors': 20}
Nep87,SVM,Gist GLCM,0.9330254041570438,0.9244851258581236,0.9287356321839081,0.934668071654373,"{'C': 0.2, 'kernel': 'linear'}"
Nep87,RF,Gist GLCM,0.9437939110070258,0.9221967963386728,0.9328703703703703,0.9388830347734457,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 140}"
Nep87,KNN,LBP Gist,0.6722846441947565,0.8215102974828375,0.7394438722966015,0.7334035827186512,{'n_neighbors': 10}
Nep87,SVM,LBP Gist,0.8911111111111111,0.9176201372997712,0.9041713641488163,0.9104320337197049,"{'C': 0.4, 'kernel': 'linear'}"
Nep87,RF,LBP Gist,0.9068736141906873,0.9359267734553776,0.9211711711711712,0.9262381454162276,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 180}"
Nep87,KNN,LBP GLCM,0.8930957683741648,0.9176201372997712,0.9051918735891648,0.9114857744994731,{'n_neighbors': 10}
Nep87,SVM,LBP GLCM,0.9595505617977528,0.977116704805492,0.9682539682539683,0.9704952581664911,"{'C': 0.6, 'kernel': 'linear'}"
Nep87,RF,LBP GLCM,0.9328703703703703,0.9221967963386728,0.9275028768699655,0.9336143308746049,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 50}"
Nep87,KNN,Basic LBP GLCM,0.958904109589041,0.9610983981693364,0.96,0.9631190727081138,{'n_neighbors': 10}
Nep87,SVM,Basic LBP GLCM,0.9861431870669746,0.977116704805492,0.9816091954022989,0.9831401475237092,"{'C': 0.5, 'kernel': 'linear'}"
Nep87,RF,Basic LBP GLCM,0.9658314350797267,0.9702517162471396,0.9680365296803652,0.9704952581664911,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 120}"
Nep87,KNN,Basic LBP GIST,0.7888675623800384,0.9405034324942791,0.8580375782881002,0.8566912539515279,{'n_neighbors': 20}
Nep87,SVM,Basic LBP GIST,0.9407744874715261,0.9450800915331807,0.9429223744292238,0.9473129610115911,"{'C': 0.6, 'kernel': 'sigmoid'}"
Nep87,RF,Basic LBP GIST,0.9572072072072072,0.9725400457665904,0.9648127128263337,0.9673340358271865,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 150}"
Nep87,KNN,Basic GLCM GIST,0.8142292490118577,0.9427917620137299,0.8738069989395546,0.8746048472075869,{'n_neighbors': 20}
Nep87,SVM,Basic GLCM GIST,0.9483146067415731,0.965675057208238,0.9569160997732427,0.9599578503688093,"{'C': 0.2, 'kernel': 'linear'}"
Nep87,RF,Basic GLCM GIST,0.9679633867276888,0.9679633867276888,0.9679633867276888,0.9704952581664911,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 200}"
Nep87,KNN,LBP GIST GLCM,0.7495219885277247,0.897025171624714,0.8166666666666667,0.8145416227608009,{'n_neighbors': 20}
Nep87,SVM,LBP GIST GLCM,0.9448275862068966,0.9405034324942791,0.9426605504587156,0.9473129610115911,"{'C': 0.1, 'kernel': 'linear'}"
Nep87,RF,LBP GIST GLCM,0.9432624113475178,0.9130434782608695,0.9279069767441861,0.934668071654373,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 120}"
Nep87,KNN,All,0.8187250996015937,0.9405034324942791,0.8753993610223643,0.8767123287671232,{'n_neighbors': 20}
Nep87,SVM,All,0.9487750556792873,0.9748283752860412,0.9616252821670429,0.964172813487882,"{'C': 0.1, 'kernel': 'linear'}"
Nep87,RF,All,0.9658314350797267,0.9702517162471396,0.9680365296803652,0.9704952581664911,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 150}"
Q5,KNN,Basic,0.8990825688073395,0.9645669291338582,0.9306742640075973,0.9265593561368209,{'n_neighbors': 10}
Q5,SVM,Basic,0.921455938697318,0.9468503937007874,0.9339805825242719,0.93158953722334,"{'C': 1, 'kernel': 'rbf'}"
Q5,RF,Basic,0.9294117647058824,0.9330708661417323,0.931237721021611,0.9295774647887324,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 50}"
Q5,KNN,LBP,0.5914179104477612,0.6240157480314961,0.60727969348659,0.5875251509054326,{'n_neighbors': 15}
Q5,SVM,LBP,0.6118299445471349,0.6515748031496063,0.6310772163965681,0.6106639839034205,"{'C': 0.9, 'kernel': 'rbf'}"
Q5,RF,LBP,0.5855130784708249,0.5728346456692913,0.5791044776119403,0.5744466800804829,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}"
Q5,KNN,GLCM,0.653968253968254,0.8110236220472441,0.7240773286467487,0.6841046277665996,{'n_neighbors': 20}
Q5,SVM,GLCM,0.7204861111111112,0.8169291338582677,0.7656826568265682,0.744466800804829,"{'C': 1, 'kernel': 'rbf'}"
Q5,RF,GLCM,0.6917562724014337,0.7598425196850394,0.724202626641651,0.704225352112676,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 200}"
Q5,KNN,Gist,0.6170212765957447,0.5137795275590551,0.560687432867884,0.5885311871227364,{'n_neighbors': 20}
Q5,SVM,Gist,0.7134935304990758,0.7598425196850394,0.7359389895138226,0.721327967806841,"{'C': 0.9, 'kernel': 'linear'}"
Q5,RF,Gist,0.7079934747145188,0.8543307086614174,0.7743086529884032,0.7454728370221329,"{'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 200}"
Q5,KNN,Basic LBP,0.8876811594202898,0.9645669291338582,0.9245283018867925,0.9195171026156942,{'n_neighbors': 10}
Q5,SVM,Basic LBP,0.9255725190839694,0.9547244094488189,0.939922480620155,0.937625754527163,"{'C': 0.9, 'kernel': 'rbf'}"
Q5,RF,Basic LBP,0.9280155642023347,0.9389763779527559,0.9334637964774951,0.93158953722334,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 180}"
Q5,KNN,Basic GLCM,0.8725663716814159,0.9704724409448819,0.918918918918919,0.9124748490945674,{'n_neighbors': 10}
Q5,SVM,Basic GLCM,0.9238095238095239,0.9547244094488189,0.9390125847047435,0.9366197183098591,"{'C': 0.8, 'kernel': 'rbf'}"
Q5,RF,Basic GLCM,0.9321705426356589,0.9468503937007874,0.939453125,0.937625754527163,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 140}"
Q5,KNN,Basic Gist,0.7403225806451613,0.9035433070866141,0.8138297872340425,0.7887323943661971,{'n_neighbors': 20}
Q5,SVM,Basic Gist,0.888235294117647,0.8917322834645669,0.8899803536345776,0.8873239436619719,"{'C': 0.2, 'kernel': 'linear'}"
Q5,RF,Basic Gist,0.9203187250996016,0.9094488188976378,0.9148514851485149,0.9134808853118712,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 200}"
Q5,KNN,Gist GLCM,0.6483300589390962,0.6496062992125984,0.6489675516224189,0.6408450704225352,{'n_neighbors': 20}
Q5,SVM,Gist GLCM,0.7457943925233644,0.7854330708661418,0.7651006711409396,0.7535211267605634,"{'C': 0.2, 'kernel': 'linear'}"
Q5,RF,Gist GLCM,0.7682926829268293,0.8681102362204725,0.8151571164510166,0.7987927565392354,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 200}"
Q5,KNN,LBP Gist,0.6237006237006237,0.5905511811023622,0.6066734074823054,0.6086519114688129,{'n_neighbors': 20}
Q5,SVM,LBP Gist,0.745697896749522,0.7677165354330708,0.7565470417070805,0.7474849094567404,"{'C': 0.7, 'kernel': 'linear'}"
Q5,RF,LBP Gist,0.7333333333333333,0.8011811023622047,0.7657572906867357,0.7494969818913481,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 140}"
Q5,KNN,LBP GLCM,0.6693290734824281,0.8248031496062992,0.7389770723104057,0.7022132796780685,{'n_neighbors': 20}
Q5,SVM,LBP GLCM,0.7324185248713551,0.8405511811023622,0.7827681026581118,0.761569416498994,"{'C': 1, 'kernel': 'rbf'}"
Q5,RF,LBP GLCM,0.7074074074074074,0.7519685039370079,0.7290076335877863,0.7142857142857143,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 120}"
Q5,KNN,Basic LBP GLCM,0.8670212765957447,0.9625984251968503,0.9123134328358209,0.9054325955734407,{'n_neighbors': 10}
