Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,BC-15,Enhanced Color+Color,0.8088962108731467,0.809392271724424,0.8088962108731467,0.8088277238176832,0.8075545441052787
Random Forest,BC-15,Enhanced Color+Color,0.8080724876441515,0.8082070939956306,0.8080724876441515,0.8080470895704183,0.8140429426606639
K-Nearest Neighbors,BC-15,Enhanced Color+LBP,0.7685337726523888,0.7687552358148103,0.7685337726523888,0.7684937176513242,0.7576147363907715
Support Vector Machine,BC-15,Enhanced Color+LBP,0.8220757825370676,0.8233611659691453,0.8220757825370676,0.8219104851995537,0.8075504213459984
Random Forest,BC-15,Enhanced Color+LBP,0.7915980230642504,0.7921075978735965,0.7915980230642505,0.7915166860515175,0.7738641798182687
K-Nearest Neighbors,BC-15,Enhanced Color+GLCM,0.7965403624382208,0.796782515272694,0.7965403624382208,0.7965051539497405,0.7941498045812101
Support Vector Machine,BC-15,Enhanced Color+GLCM,0.8467874794069192,0.8484729264457525,0.8467874794069192,0.846612640571196,0.8404409703326243
Random Forest,BC-15,Enhanced Color+GLCM,0.8064250411861614,0.8064971467359678,0.8064250411861614,0.8064167662092452,0.8071505136958063
K-Nearest Neighbors,BC-15,Enhanced Color+GIST,0.7051070840197694,0.7100722679259541,0.7051070840197694,0.7032901032650098,0.6995514437903
Support Vector Machine,BC-15,Enhanced Color+GIST,0.7907742998352554,0.7914693432076833,0.7907742998352554,0.7906379198170597,0.8006489223107242
Random Forest,BC-15,Enhanced Color+GIST,0.800658978583196,0.8035938008661425,0.800658978583196,0.8001545072809559,0.801879153679975
K-Nearest Neighbors,BC-15,Zernike moments+Color,0.8484349258649094,0.8514483556660826,0.8484349258649094,0.8481233213939909,0.8814475832385099
Support Vector Machine,BC-15,Zernike moments+Color,0.8649093904448105,0.8764207649346343,0.8649093904448105,0.8638914415461677,0.8854994310592194
Random Forest,BC-15,Zernike moments+Color,0.8912685337726524,0.8946429894296968,0.8912685337726524,0.8910449914348194,0.8948374808291693
K-Nearest Neighbors,BC-15,Zernike moments+LBP,0.8377265238879736,0.8445165485441238,0.8377265238879736,0.8369460794739989,0.8359677765134649
Support Vector Machine,BC-15,Zernike moments+LBP,0.886326194398682,0.8887714540496306,0.886326194398682,0.8861556466146747,0.893213938224575
Random Forest,BC-15,Zernike moments+LBP,0.8624382207578254,0.8639549124736415,0.8624382207578254,0.8623034082017893,0.8530252807599069
K-Nearest Neighbors,BC-15,Zernike moments+GLCM,0.8401976935749588,0.8438103245687418,0.8401976935749588,0.8397933498140581,0.843265884991507
Support Vector Machine,BC-15,Zernike moments+GLCM,0.8937397034596376,0.8955557997654031,0.8937397034596376,0.8936242968853441,0.8903733570804269
Random Forest,BC-15,Zernike moments+GLCM,0.8550247116968699,0.8572771574963132,0.8550247116968699,0.8548072014795853,0.8542348983327562
K-Nearest Neighbors,BC-15,Zernike moments+GIST,0.7660626029654036,0.7661742433065979,0.7660626029654036,0.7660435539297517,0.7474884150464222
Support Vector Machine,BC-15,Zernike moments+GIST,0.8245469522240527,0.8274607655060853,0.8245469522240527,0.8241729678955763,0.8213509457609789
Random Forest,BC-15,Zernike moments+GIST,0.8451400329489291,0.851911568267327,0.8451400329489291,0.8444129551688012,0.8384076254555648
K-Nearest Neighbors,BC-15,Color+LBP,0.7973640856672158,0.7975146637338006,0.7973640856672158,0.7973332819938778,0.805926054189548
Support Vector Machine,BC-15,Color+LBP,0.8047775947281713,0.8069710229560305,0.8047775947281713,0.8044460312861491,0.809575520704497
Random Forest,BC-15,Color+LBP,0.8097199341021417,0.8101019005585725,0.8097199341021417,0.8096684070607092,0.8172859051105723
K-Nearest Neighbors,BC-15,Color+GLCM,0.7990115321252059,0.7991630497387953,0.7990115321252059,0.7989809788882365,0.8181063342073582
Support Vector Machine,BC-15,Color+GLCM,0.8344316309719935,0.8368316939834475,0.8344316309719935,0.8341504315971139,0.8497691254803014
Random Forest,BC-15,Color+GLCM,0.8228995057660626,0.8232965121223406,0.8228995057660626,0.8228515476971968,0.8400212734378865
K-Nearest Neighbors,BC-15,Color+GIST,0.7446457990115322,0.7538416857636588,0.7446457990115322,0.7422515560209616,0.7559936674417453
Support Vector Machine,BC-15,Color+GIST,0.7965403624382208,0.7969793971925961,0.7965403624382208,0.7964736636419751,0.8083560085093751
Random Forest,BC-15,Color+GIST,0.8319604612850082,0.8321985514440104,0.8319604612850082,0.8319349178154967,0.8355563251372878
K-Nearest Neighbors,BC-15,LBP+GLCM,0.7042833607907742,0.7043049139707471,0.7042833607907742,0.7042707191685676,0.6958838371345173
Support Vector Machine,BC-15,LBP+GLCM,0.7726523887973641,0.7728518233081819,0.7726523887973641,0.7726178299856721,0.7393377199492077
Random Forest,BC-15,LBP+GLCM,0.7504118616144976,0.7504499093983374,0.7504118616144976,0.7504059342452907,0.7295972888734974
K-Nearest Neighbors,BC-15,LBP+GIST,0.6400329489291599,0.6469636642810085,0.6400329489291599,0.6355926238594951,0.634188393608074
Support Vector Machine,BC-15,LBP+GIST,0.7265238879736409,0.7273870229809909,0.7265238879736409,0.7262415317586532,0.7226924916307986
Random Forest,BC-15,LBP+GIST,0.7990115321252059,0.8010811466394411,0.7990115321252059,0.7986837204056048,0.7840069921997395
K-Nearest Neighbors,BC-15,GLCM+GIST,0.6598023064250412,0.669339039685832,0.6598023064250412,0.654808931716033,0.6451491614307624
Support Vector Machine,BC-15,GLCM+GIST,0.7751235584843492,0.7752418806369024,0.7751235584843492,0.7750938002262839,0.7507157110110655
Random Forest,BC-15,GLCM+GIST,0.7833607907742999,0.7833829582126549,0.7833607907742999,0.783358585850428,0.7807590824386945
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments,0.8904448105436573,0.8949919129741618,0.8904448105436573,0.8901395851662329,0.9049976087996173
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments,0.9373970345963756,0.9384730052501667,0.9373970345963756,0.9373613346218072,0.9378790877158265
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments,0.914332784184514,0.9149870342847255,0.914332784184514,0.9143020830906855,0.9187940104553176
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Color,0.8649093904448105,0.8663588363502409,0.8649093904448105,0.8647838869107722,0.871291578027342
Support Vector Machine,BC-15,Basic+Enhanced Color+Color,0.8747940691927513,0.8775819862279658,0.8747940691927513,0.8745728115939412,0.8781947261663285
Random Forest,BC-15,Basic+Enhanced Color+Color,0.8929159802306426,0.8932670023132985,0.8929159802306426,0.8928950509055523,0.8972789788749814
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP,0.8797364085667215,0.8858068381106061,0.8797364085667215,0.8792757716223084,0.8672413793103448
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP,0.9168039538714992,0.9200171534965654,0.9168039538714992,0.9166510992786783,0.9179826514289484
Random Forest,BC-15,Basic+Enhanced Color+LBP,0.9102141680395387,0.9115908750825997,0.9102141680395387,0.9101437517001622,0.8895644717096258
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+GLCM,0.8789126853377265,0.8827973620898516,0.8789126853377265,0.8786162908607135,0.8745378386846749
