Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,BC-15,Basic+Enhanced Color+GLCM+Edge,0.9324546952224053,0.9333818565124851,0.9324546952224053,0.9324213150620123,0.924078563300846
Random Forest,BC-15,Basic+Enhanced Color+GLCM+Edge,0.9168039538714992,0.9179007536916605,0.9168039538714992,0.9167531761861865,0.9029601411632777
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP+GLCM,0.8624382207578254,0.8807544814333452,0.8624382207578254,0.86079282648971,0.8457115057965996
Support Vector Machine,BC-15,Basic+Zernike moments+LBP+GLCM,0.9398682042833608,0.9401394100112151,0.9398682042833608,0.9398602472493456,0.9350393311235343
Random Forest,BC-15,Basic+Zernike moments+LBP+GLCM,0.8797364085667215,0.8821410758278795,0.8797364085667215,0.879555973954656,0.8830628803245435
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP+Edge,0.8591433278418451,0.879058862292303,0.8591433278418451,0.8572998337981554,0.8465245139266809
Support Vector Machine,BC-15,Basic+Zernike moments+LBP+Edge,0.929159802306425,0.9302162783026129,0.929159802306425,0.9291194049667819,0.9277338016787875
Random Forest,BC-15,Basic+Zernike moments+LBP+Edge,0.8797364085667215,0.8840249763875652,0.8797364085667215,0.879411768081313,0.8818516136479824
K-Nearest Neighbors,BC-15,Basic+Zernike moments+GLCM+Edge,0.8583196046128501,0.8755847599514367,0.8583196046128501,0.8567019688453099,0.855452761424166
Support Vector Machine,BC-15,Basic+Zernike moments+GLCM+Edge,0.943986820428336,0.9444723428897115,0.943986820428336,0.9439731352380877,0.9301678787578951
Random Forest,BC-15,Basic+Zernike moments+GLCM+Edge,0.8846787479406919,0.8882404892897936,0.8846787479406919,0.8844240572394498,0.8810336582067647
K-Nearest Neighbors,BC-15,Basic+LBP+GLCM+Edge,0.8163097199341022,0.8457703890702617,0.8163097199341022,0.8123671473456555,0.7892758785600027
Support Vector Machine,BC-15,Basic+LBP+GLCM+Edge,0.9192751235584844,0.9201751888076146,0.9192751235584844,0.9192352301960633,0.893625389600752
Random Forest,BC-15,Basic+LBP+GLCM+Edge,0.8583196046128501,0.8628984157970905,0.8583196046128501,0.8578868808442733,0.8643876053364996
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP+GLCM,0.8747940691927513,0.8928445300701686,0.8747940691927513,0.8733645306074832,0.8761622058411254
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP+GLCM,0.943163097199341,0.9436973426417243,0.943163097199341,0.9431477060051469,0.9415392734049044
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP+GLCM,0.9019769357495881,0.903653288439009,0.9019769357495881,0.9018808717126524,0.9139184353303978
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP+Edge,0.8739703459637562,0.8922728158662813,0.8739703459637562,0.8725087477648285,0.876567060802454
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP+Edge,0.9390444810543658,0.9395249012332377,0.9390444810543658,0.9390295883473309,0.9468188789392965
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP+Edge,0.9019769357495881,0.903485661753239,0.9019769357495881,0.9018907328648347,0.9175753228120517
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+GLCM+Edge,0.8624382207578254,0.8796199340810843,0.8624382207578254,0.8608921374415914,0.8716956084368146
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+GLCM+Edge,0.9250411861614497,0.926019341392878,0.9250411861614497,0.925001342249913,0.9447830604066689
Random Forest,BC-15,Enhanced Color+Zernike moments+GLCM+Edge,0.8879736408566722,0.890228147757348,0.8879736408566722,0.8878195899612703,0.9029584920595657
K-Nearest Neighbors,BC-15,Enhanced Color+LBP+GLCM+Edge,0.7957166392092258,0.8129065090488183,0.7957166392092258,0.7929239254261314,0.7892791767674268
Support Vector Machine,BC-15,Enhanced Color+LBP+GLCM+Edge,0.886326194398682,0.8872812981753324,0.886326194398682,0.8862613707606498,0.8692681277725557
Random Forest,BC-15,Enhanced Color+LBP+GLCM+Edge,0.8237232289950577,0.8244268479473047,0.8237232289950577,0.8236361149179345,0.8201405036362737
K-Nearest Neighbors,BC-15,Zernike moments+LBP+GLCM+Edge,0.8261943986820428,0.8477692641395185,0.8261943986820428,0.8235004983695916,0.8298693909859992
Support Vector Machine,BC-15,Zernike moments+LBP+GLCM+Edge,0.9102141680395387,0.910710813732304,0.9102141680395387,0.9101898544139275,0.9013398967661077
Random Forest,BC-15,Zernike moments+LBP+GLCM+Edge,0.871499176276771,0.8749416085789917,0.871499176276771,0.8712153780668155,0.8623567341150086
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+LBP+GLCM,0.8813838550247117,0.899162510642564,0.8813838550247117,0.8800716834472853,0.8785954583683766
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+LBP+GLCM,0.9481054365733114,0.948547547430515,0.9481054365733114,0.9480940610291255,0.9435660218671152
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+LBP+GLCM,0.9126853377265239,0.9143177763906938,0.9126853377265239,0.9126042195886699,0.9208191098138162
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+LBP+Edge,0.8772652388797364,0.8940043019138282,0.8772652388797364,0.8759715598205515,0.8781864806477679
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+LBP+Edge,0.943163097199341,0.9434361818732252,0.943163097199341,0.9431555761671898,0.9455952439848943
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+LBP+Edge,0.9060955518945635,0.9075379423575701,0.9060955518945635,0.9060175022391954,0.9220419202163624
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+GLCM+Edge,0.8813838550247117,0.8974688176820704,0.8813838550247117,0.8801939515561272,0.8838750639027688
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+GLCM+Edge,0.943986820428336,0.9442979268116864,0.943986820428336,0.9439783059384987,0.9484391233364666
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+GLCM+Edge,0.9126853377265239,0.9143177763906938,0.9126853377265239,0.9126042195886699,0.9220410956645063
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP+GLCM+Edge,0.8649093904448105,0.8830597775333866,0.8649093904448105,0.863318230293388,0.8396246639951187
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP+GLCM+Edge,0.9308072487644151,0.931603892571499,0.9308072487644151,0.9307779413447692,0.9257004568017282
Random Forest,BC-15,Basic+Enhanced Color+LBP+GLCM+Edge,0.9110378912685337,0.9121909890244833,0.9110378912685337,0.9109799077962573,0.9025536370982371
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP+GLCM+Edge,0.8624382207578254,0.8796199340810843,0.8624382207578254,0.8608921374415914,0.8424611223799865
Support Vector Machine,BC-15,Basic+Zernike moments+LBP+GLCM+Edge,0.9406919275123559,0.941000886359696,0.9406919275123559,0.9406829121701752,0.9297638483484226
Random Forest,BC-15,Basic+Zernike moments+LBP+GLCM+Edge,0.8813838550247117,0.8844429311462539,0.8813838550247117,0.8811574421728365,0.8822515212981743
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP+GLCM+Edge,0.8698517298187809,0.888834788117419,0.8698517298187809,0.868271046722041,0.870069592176652
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP+GLCM+Edge,0.9448105436573312,0.9450845678042303,0.9448105436573312,0.9448032406261117,0.9447880077178054
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP+GLCM+Edge,0.9003294892915981,0.9023598288409678,0.9003294892915981,0.9002101242213562,0.9127030458945562
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+LBP+GLCM+Edge,0.8789126853377265,0.895724071715996,0.8789126853377265,0.877636371098128,0.8745345404772505
