Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,BC-15,Basic+Enhanced Color+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9225700164744646,0.9234768557338322,0.9225700164744646,0.9225317514125506,0.9301687033097512
Random Forest,BC-15,Basic+Enhanced Color+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9126853377265239,0.9134499574074644,0.9126853377265239,0.9126483545541132,0.9033691188838866
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8632619439868204,0.8756312836594831,0.8632619439868204,0.8621509306819775,0.8578884876069856
Support Vector Machine,BC-15,Basic+Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9341021416803954,0.9353174992554644,0.9341021416803954,0.9340591909601905,0.93341578851894
Random Forest,BC-15,Basic+Zernike moments+LBP,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.8929159802306426,0.8941623100700883,0.8929159802306426,0.8928368726610328,0.8781988489256088
K-Nearest Neighbors,BC-15,Basic+Zernike moments+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8789126853377265,0.8901748358276319,0.8789126853377265,0.8780520160033604,0.8725110902224641
Support Vector Machine,BC-15,Basic+Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9275123558484349,0.9287099249037555,0.9275123558484349,0.9274651100562097,0.9366620491762727
Random Forest,BC-15,Basic+Zernike moments+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8879736408566722,0.8896776233266293,0.8879736408566722,0.8878579891199285,0.8871196754563894
K-Nearest Neighbors,BC-15,Basic+Zernike moments+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8805601317957167,0.8905599813286986,0.8805601317957167,0.8798087253400301,0.8794109401540263
Support Vector Machine,BC-15,Basic+Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9299835255354201,0.9311136732946247,0.9299835255354201,0.9299407918398602,0.9354417124292947
