Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,Q5,Basic+Enhanced Color+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9416498993963782,0.9454469733338426,0.9416498993963782,0.9415137245317479,0.9335392968577256
Support Vector Machine,Q5,Basic+Enhanced Color+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9668008048289738,0.967479130974811,0.9668008048289738,0.966786113238646,0.9623049898041913
Random Forest,Q5,Basic+Enhanced Color+Edge,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9637826961770624,0.9638115689069084,0.9637826961770624,0.9637815231137344,0.9489116281355183
K-Nearest Neighbors,Q5,Basic+Zernike moments+LBP,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9235412474849095,0.9278440953327256,0.9235412474849095,0.9233316906473762,0.9300628946269317
Support Vector Machine,Q5,Basic+Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9607645875251509,0.9610759897820533,0.9607645875251509,0.960755808934928,0.9553595558066974
Random Forest,Q5,Basic+Zernike moments+LBP,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9406438631790744,0.9406860665124533,0.9406438631790744,0.940641159588165,0.9409760951281232
K-Nearest Neighbors,Q5,Basic+Zernike moments+GLCM,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9215291750503019,0.9254704206491171,0.9215291750503019,0.9213303961827988,0.938497162371324
Support Vector Machine,Q5,Basic+Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9577464788732394,0.9578623908825621,0.9577464788732394,0.9577423728191079,0.9568483895535955
Random Forest,Q5,Basic+Zernike moments+GLCM,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9396378269617707,0.9396989847730005,0.9396378269617707,0.9396341610052894,0.9439488489791907
K-Nearest Neighbors,Q5,Basic+Zernike moments+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9265593561368209,0.9294596014658681,0.9265593561368209,0.9264219357754583,0.9375033781293762
Support Vector Machine,Q5,Basic+Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9627766599597586,0.9630896520852292,0.9627766599597586,0.9627683315536496,0.9593310075424416
Random Forest,Q5,Basic+Zernike moments+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9436619718309859,0.9436888892969597,0.9436619718309859,0.9436601470658089,0.9439488489791907
K-Nearest Neighbors,Q5,Basic+LBP+GLCM,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9044265593561368,0.9118679581866883,0.9044265593561368,0.9039640515538155,0.9012959732697835
Support Vector Machine,Q5,Basic+LBP+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9577464788732394,0.958341707483689,0.9577464788732394,0.9577295355686174,0.942959978379972
Random Forest,Q5,Basic+LBP+GLCM,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9436619718309859,0.9437733203753746,0.9436619718309859,0.9436564970921437,0.9404761319804436
K-Nearest Neighbors,Q5,Basic+LBP+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9185110663983903,0.9236679099869978,0.9185110663983903,0.9182424865937708,0.9097240989607647
Support Vector Machine,Q5,Basic+LBP+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9517102615694165,0.952296678505396,0.9517102615694165,0.9516908977927055,0.9409736383067587
Random Forest,Q5,Basic+LBP+Edge,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.9486921529175051,0.9487782816904016,0.9486921529175051,0.9486881538849715,0.9404749035697615
K-Nearest Neighbors,Q5,Basic+GLCM+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.9114688128772636,0.917113269198981,0.9114688128772636,0.911145341289511,0.9012947448591013
Support Vector Machine,Q5,Basic+GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9577464788732394,0.9581052798250723,0.9577464788732394,0.9577356985168967,0.943462398349016
Random Forest,Q5,Basic+GLCM+Edge,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': True}",0.9446680080482898,0.9447531101205823,0.9446680080482898,0.9446636953661457,0.937004643392379
K-Nearest Neighbors,Q5,Enhanced Color+Zernike moments+LBP,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.954728370221328,0.9578311851858418,0.954728370221328,0.9546436590396661,0.9474240227993022
Support Vector Machine,Q5,Enhanced Color+Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9768611670020121,0.9772932341128483,0.9768611670020121,0.9768544901423117,0.9677591332334228
