Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,Xi23,Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8969298245614035,0.8971823060941828,0.8969298245614035,0.8967534386998465,0.8908911789487328
Random Forest,Xi23,Zernike moments+LBP,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.8830409356725146,0.8832085438256038,0.8830409356725146,0.8828503266392123,0.8685663361202929
K-Nearest Neighbors,Xi23,Zernike moments+GLCM,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.8508771929824561,0.8634798093047985,0.8508771929824561,0.8482174727863202,0.8393952945751508
Support Vector Machine,Xi23,Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.904970760233918,0.905223766562834,0.904970760233918,0.90481589039436,0.8818789292890014
Random Forest,Xi23,Zernike moments+GLCM,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8728070175438597,0.8737579849661422,0.8728070175438597,0.8723653742888181,0.8498353749432885
K-Nearest Neighbors,Xi23,Zernike moments+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8633040935672515,0.8703654470417499,0.8633040935672515,0.8617263436809076,0.8498327824227104
Support Vector Machine,Xi23,Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8983918128654971,0.899270225030119,0.8983918128654971,0.8980900410886317,0.8764819495754749
Random Forest,Xi23,Zernike moments+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.8720760233918129,0.8734642334634363,0.8720760233918129,0.8715358812449829,0.857038045239484
K-Nearest Neighbors,Xi23,LBP+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.7214912280701754,0.7239407302081766,0.7214912280701754,0.7179850631311426,0.7349594918659668
Support Vector Machine,Xi23,LBP+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8004385964912281,0.8003465347212211,0.8004385964912281,0.800029736598144,0.7947404238771145
Random Forest,Xi23,LBP+GLCM,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.7631578947368421,0.7629860735283701,0.7631578947368421,0.7630457996675419,0.768441247002398
K-Nearest Neighbors,Xi23,LBP+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.6929824561403509,0.6939064903008387,0.6929824561403509,0.6894911493733942,0.7029301963834339
Support Vector Machine,Xi23,LBP+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.7470760233918129,0.7469221412993884,0.7470760233918129,0.7461450216006732,0.7360431654676258
Random Forest,Xi23,LBP+Edge,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': True}",0.7346491228070176,0.7342774439622665,0.7346491228070176,0.7338610425552037,0.7187588307732191
K-Nearest Neighbors,Xi23,GLCM+Edge,"{'weights': 'distance', 'n_neighbors': 19, 'metric': 'euclidean'}",0.7134502923976608,0.718405750685029,0.7134502923976608,0.7080950503527332,0.724159699267613
Support Vector Machine,Xi23,GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.7741228070175439,0.7770293033307908,0.7741228070175439,0.7718885509201331,0.7860976083997666
Random Forest,Xi23,GLCM+Edge,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.7361111111111112,0.7357505937932294,0.7361111111111112,0.7353273728992522,0.7490038239678528
K-Nearest Neighbors,Xi23,Basic+Enhanced Color+Zernike moments,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.925438596491228,0.92686904328609,0.925438596491228,0.9251797021693072,0.9304958195605676
Support Vector Machine,Xi23,Basic+Enhanced Color+Zernike moments,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9714912280701754,0.9715097120701536,0.9714912280701754,0.9714957763086012,0.9733501847170912
Random Forest,Xi23,Basic+Enhanced Color+Zernike moments,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.945906432748538,0.9459454528445406,0.945906432748538,0.945917821968958,0.9351785598548188
K-Nearest Neighbors,Xi23,Basic+Enhanced Color+LBP,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.9137426900584796,0.9144563119690088,0.9137426900584796,0.9135274340953932,0.9139283168060146
Support Vector Machine,Xi23,Basic+Enhanced Color+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9605263157894736,0.9605594332639374,0.9605263157894736,0.9605346268422128,0.9589500291658564
Random Forest,Xi23,Basic+Enhanced Color+LBP,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.9400584795321636,0.9405664390148956,0.9400584795321636,0.9401111979820844,0.9337364702832328
K-Nearest Neighbors,Xi23,Basic+Enhanced Color+GLCM,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9247076023391811,0.9262060255951232,0.9247076023391811,0.9244383542194904,0.9117700434247198
Support Vector Machine,Xi23,Basic+Enhanced Color+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9649122807017544,0.965050396141047,0.9649122807017544,0.9649296083425812,0.9600285177263596
Random Forest,Xi23,Basic+Enhanced Color+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9400584795321636,0.9404047215337924,0.9400584795321636,0.9401027275435476,0.9430987102210124
