Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,Basic+Skewness and Kurtosis+Zernike moments,0.8584070796460177,0.8647665641683716,0.8584070796460177,0.8568837712462682,0.8468485696073674
Support Vector Machine,BC-15,Basic+Skewness and Kurtosis+Zernike moments,0.931858407079646,0.9322762497715572,0.931858407079646,0.9317420118233528,0.921915879403678
Random Forest,BC-15,Basic+Skewness and Kurtosis+Zernike moments,0.8787610619469026,0.8795528876205282,0.8787610619469026,0.8783969637650826,0.8691097982133174
K-Nearest Neighbors,BC-15,Basic+Skewness and Kurtosis+Hu moments,0.8176991150442477,0.8250558619924263,0.8176991150442477,0.8151974145182957,0.8062667085271759
Support Vector Machine,BC-15,Basic+Skewness and Kurtosis+Hu moments,0.911504424778761,0.9135461765373272,0.911504424778761,0.9111153604397584,0.8887414257308942
Random Forest,BC-15,Basic+Skewness and Kurtosis+Hu moments,0.8557522123893805,0.856482158520827,0.8557522123893805,0.8552845987521771,0.8499091436671709
K-Nearest Neighbors,BC-15,Basic+Skewness and Kurtosis+LBP,0.8088495575221238,0.8208063445121665,0.8088495575221238,0.8051010729985403,0.8036551835678474
Support Vector Machine,BC-15,Basic+Skewness and Kurtosis+LBP,0.9079646017699116,0.909059339443742,0.9079646017699116,0.907677301651648,0.8887423771061069
Random Forest,BC-15,Basic+Skewness and Kurtosis+LBP,0.8557522123893805,0.8562570475480162,0.8557522123893805,0.8553524911579575,0.8520944525311338
K-Nearest Neighbors,BC-15,Basic+Skewness and Kurtosis+GLCM,0.8398230088495575,0.8491964864776012,0.8398230088495575,0.8374420171039211,0.8324437975092998
Support Vector Machine,BC-15,Basic+Skewness and Kurtosis+GLCM,0.9176991150442478,0.9181540179485984,0.9176991150442478,0.9175421037775998,0.9031404895776844
Random Forest,BC-15,Basic+Skewness and Kurtosis+GLCM,0.8831858407079646,0.8837147249180738,0.8831858407079646,0.8829013786502327,0.8682383385183282
K-Nearest Neighbors,BC-15,Basic+Skewness and Kurtosis+Edge,0.8176991150442477,0.8254305802635603,0.8176991150442477,0.8151151153571288,0.8167461064969412
Support Vector Machine,BC-15,Basic+Skewness and Kurtosis+Edge,0.8964601769911504,0.8986312862788289,0.8964601769911504,0.8959620556153834,0.8874304306875589
Random Forest,BC-15,Basic+Skewness and Kurtosis+Edge,0.8654867256637168,0.8666514807719174,0.8654867256637168,0.8649665858407977,0.8599461521629514
K-Nearest Neighbors,BC-15,Basic+Zernike moments+Hu moments,0.8415929203539823,0.8528846694408055,0.8415929203539823,0.8389342405118076,0.8337671604304022
Support Vector Machine,BC-15,Basic+Zernike moments+Hu moments,0.9203539823008848,0.9225018152938508,0.9203539823008848,0.9200038243957828,0.9184243323724444
Random Forest,BC-15,Basic+Zernike moments+Hu moments,0.879646017699115,0.882596921358518,0.879646017699115,0.8789065884041709,0.8630095803483936
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP,0.8460176991150442,0.8577993159284631,0.8460176991150442,0.8433951089687176,0.844675628621172
Support Vector Machine,BC-15,Basic+Zernike moments+LBP,0.9168141592920354,0.9187095993287012,0.9168141592920354,0.9164707398577582,0.92060393298513
Random Forest,BC-15,Basic+Zernike moments+LBP,0.8805309734513275,0.8822952572968218,0.8805309734513275,0.8799894274554839,0.8665049328804788
K-Nearest Neighbors,BC-15,Basic+Zernike moments+GLCM,0.868141592920354,0.8779338294804023,0.868141592920354,0.8663024629288257,0.859949957663803
Support Vector Machine,BC-15,Basic+Zernike moments+GLCM,0.927433628318584,0.9281059040688348,0.927433628318584,0.927272578228576,0.9306323791039948
Random Forest,BC-15,Basic+Zernike moments+GLCM,0.8831858407079646,0.8857201212887684,0.8831858407079646,0.8825392980007855,0.8756619193043544
K-Nearest Neighbors,BC-15,Basic+Zernike moments+Edge,0.8619469026548673,0.8712405285558871,0.8619469026548673,0.8600524109944376,0.8555869509375803
Support Vector Machine,BC-15,Basic+Zernike moments+Edge,0.9238938053097344,0.9256638073860962,0.9238938053097344,0.923599515673083,0.9275822701715328
