Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP+Edge,0.9541,0.9541,0.9541,0.9541,0.9452
Random Forest,BC-15,Basic+Enhanced Color+LBP+Edge,0.9452,0.9452,0.9452,0.9452,0.9297
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP+Edge2,0.8896,0.9039,0.8896,0.8889,0.8547
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP+Edge2,0.9517,0.9517,0.9517,0.9517,0.9452
Random Forest,BC-15,Basic+Enhanced Color+LBP+Edge2,0.9468,0.9468,0.9468,0.9468,0.9249
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+GLCM+Edge,0.892,0.9028,0.892,0.8915,0.863
Support Vector Machine,BC-15,Basic+Enhanced Color+GLCM+Edge,0.9645,0.9646,0.9645,0.9645,0.9515
Random Forest,BC-15,Basic+Enhanced Color+GLCM+Edge,0.9476,0.9476,0.9476,0.9476,0.9257
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+GLCM+Edge2,0.8985,0.9094,0.8985,0.898,0.8666
Support Vector Machine,BC-15,Basic+Enhanced Color+GLCM+Edge2,0.9605,0.9606,0.9605,0.9605,0.9515
Random Forest,BC-15,Basic+Enhanced Color+GLCM+Edge2,0.9492,0.9492,0.9492,0.9492,0.9333
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Edge+Edge2,0.8775,0.8917,0.8775,0.8767,0.8491
Support Vector Machine,BC-15,Basic+Enhanced Color+Edge+Edge2,0.9549,0.9549,0.9549,0.9549,0.9448
Random Forest,BC-15,Basic+Enhanced Color+Edge+Edge2,0.9396,0.9397,0.9396,0.9395,0.9293
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP+GLCM,0.8606,0.8722,0.8606,0.8599,0.8416
Support Vector Machine,BC-15,Basic+Zernike moments+LBP+GLCM,0.9355,0.9355,0.9355,0.9355,0.9277
Random Forest,BC-15,Basic+Zernike moments+LBP+GLCM,0.9065,0.907,0.9065,0.9065,0.8781
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP+Edge,0.8268,0.8494,0.8268,0.8246,0.8066
Support Vector Machine,BC-15,Basic+Zernike moments+LBP+Edge,0.9267,0.9267,0.9267,0.9267,0.9158
Random Forest,BC-15,Basic+Zernike moments+LBP+Edge,0.8961,0.8962,0.8961,0.8961,0.8693
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP+Edge2,0.83,0.8522,0.83,0.8279,0.8138
Support Vector Machine,BC-15,Basic+Zernike moments+LBP+Edge2,0.9267,0.9267,0.9267,0.9267,0.9154
Random Forest,BC-15,Basic+Zernike moments+LBP+Edge2,0.8985,0.8987,0.8985,0.8985,0.869
K-Nearest Neighbors,BC-15,Basic+Zernike moments+GLCM+Edge,0.8493,0.8633,0.8493,0.8483,0.8348
Support Vector Machine,BC-15,Basic+Zernike moments+GLCM+Edge,0.9347,0.9347,0.9347,0.9347,0.9297
Random Forest,BC-15,Basic+Zernike moments+GLCM+Edge,0.8969,0.897,0.8969,0.8969,0.8789
K-Nearest Neighbors,BC-15,Basic+Zernike moments+GLCM+Edge2,0.8541,0.866,0.8541,0.8533,0.8356
Support Vector Machine,BC-15,Basic+Zernike moments+GLCM+Edge2,0.9363,0.9363,0.9363,0.9363,0.9301
Random Forest,BC-15,Basic+Zernike moments+GLCM+Edge2,0.9041,0.9042,0.9041,0.9041,0.8745
K-Nearest Neighbors,BC-15,Basic+Zernike moments+Edge+Edge2,0.8292,0.8516,0.8292,0.827,0.8086
Support Vector Machine,BC-15,Basic+Zernike moments+Edge+Edge2,0.9243,0.9243,0.9243,0.9242,0.9099
Random Forest,BC-15,Basic+Zernike moments+Edge+Edge2,0.8952,0.8953,0.8952,0.8953,0.8697
K-Nearest Neighbors,BC-15,Basic+LBP+GLCM+Edge,0.8268,0.8423,0.8268,0.8253,0.8193
Support Vector Machine,BC-15,Basic+LBP+GLCM+Edge,0.9073,0.9075,0.9073,0.9073,0.8785
Random Forest,BC-15,Basic+LBP+GLCM+Edge,0.8695,0.8699,0.8695,0.8695,0.8602
K-Nearest Neighbors,BC-15,Basic+LBP+GLCM+Edge2,0.8276,0.8434,0.8276,0.8261,0.8201
Support Vector Machine,BC-15,Basic+LBP+GLCM+Edge2,0.9089,0.9093,0.9089,0.909,0.8805
Random Forest,BC-15,Basic+LBP+GLCM+Edge2,0.8751,0.8753,0.8751,0.8751,0.8586
K-Nearest Neighbors,BC-15,Basic+LBP+Edge+Edge2,0.8074,0.83,0.8074,0.8048,0.784
Support Vector Machine,BC-15,Basic+LBP+Edge+Edge2,0.8832,0.8845,0.8832,0.8831,0.8554
Random Forest,BC-15,Basic+LBP+Edge+Edge2,0.8654,0.8657,0.8654,0.8655,0.8431
K-Nearest Neighbors,BC-15,Basic+GLCM+Edge+Edge2,0.8316,0.8464,0.8316,0.8303,0.8129
Support Vector Machine,BC-15,Basic+GLCM+Edge+Edge2,0.9033,0.9034,0.9033,0.9033,0.8868
Random Forest,BC-15,Basic+GLCM+Edge+Edge2,0.8864,0.8865,0.8864,0.8864,0.8606
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP+GLCM,0.8864,0.9005,0.8864,0.8857,0.8785
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP+GLCM,0.9581,0.9581,0.9581,0.9581,0.9527
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP+GLCM,0.9355,0.9356,0.9355,0.9355,0.9253
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP+Edge,0.8848,0.8984,0.8848,0.8841,0.8535
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP+Edge,0.9613,0.9613,0.9613,0.9613,0.9567
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP+Edge,0.9339,0.934,0.9339,0.9339,0.9218
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP+Edge2,0.8824,0.8971,0.8824,0.8816,0.8582
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP+Edge2,0.9581,0.9581,0.9581,0.9581,0.9543
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP+Edge2,0.9371,0.9373,0.9371,0.9371,0.9222
