Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,Thien_uu-8,Basic+LBP+GLCM,0.9582,0.9582,0.9582,0.9582,0.9595
Random Forest,Thien_uu-8,Basic+LBP+GLCM,0.9452,0.9453,0.9452,0.9452,0.9546
K-Nearest Neighbors,Thien_uu-8,Basic+LBP+Edge,0.9294,0.9305,0.9294,0.9294,0.9354
Support Vector Machine,Thien_uu-8,Basic+LBP+Edge,0.9524,0.9525,0.9524,0.9524,0.9617
Random Forest,Thien_uu-8,Basic+LBP+Edge,0.9452,0.9453,0.9452,0.9452,0.9517
K-Nearest Neighbors,Thien_uu-8,Basic+LBP+Edge2,0.9337,0.9343,0.9337,0.9337,0.934
Support Vector Machine,Thien_uu-8,Basic+LBP+Edge2,0.951,0.951,0.951,0.951,0.9617
Random Forest,Thien_uu-8,Basic+LBP+Edge2,0.9452,0.9452,0.9452,0.9452,0.9524
K-Nearest Neighbors,Thien_uu-8,Basic+GLCM+Edge,0.9409,0.9413,0.9409,0.9409,0.9439
Support Vector Machine,Thien_uu-8,Basic+GLCM+Edge,0.9582,0.9583,0.9582,0.9582,0.9652
Random Forest,Thien_uu-8,Basic+GLCM+Edge,0.9467,0.9467,0.9467,0.9467,0.9532
K-Nearest Neighbors,Thien_uu-8,Basic+GLCM+Edge2,0.9467,0.947,0.9467,0.9467,0.9411
Support Vector Machine,Thien_uu-8,Basic+GLCM+Edge2,0.9611,0.9612,0.9611,0.9611,0.9631
Random Forest,Thien_uu-8,Basic+GLCM+Edge2,0.9496,0.9496,0.9496,0.9496,0.9517
K-Nearest Neighbors,Thien_uu-8,Basic+Edge+Edge2,0.928,0.9289,0.928,0.928,0.9354
Support Vector Machine,Thien_uu-8,Basic+Edge+Edge2,0.9467,0.9467,0.9467,0.9467,0.9588
Random Forest,Thien_uu-8,Basic+Edge+Edge2,0.9452,0.9452,0.9452,0.9452,0.951
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+Zernike moments+LBP,0.9294,0.9325,0.9294,0.9293,0.9418
Support Vector Machine,Thien_uu-8,Enhanced Color+Zernike moments+LBP,0.964,0.964,0.964,0.964,0.9688
Random Forest,Thien_uu-8,Enhanced Color+Zernike moments+LBP,0.9568,0.9568,0.9568,0.9568,0.9645
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+Zernike moments+GLCM,0.9452,0.9471,0.9452,0.9452,0.9524
Support Vector Machine,Thien_uu-8,Enhanced Color+Zernike moments+GLCM,0.9597,0.9597,0.9597,0.9597,0.9688
Random Forest,Thien_uu-8,Enhanced Color+Zernike moments+GLCM,0.9524,0.9525,0.9524,0.9525,0.9645
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+Zernike moments+Edge,0.9424,0.9442,0.9424,0.9423,0.9404
Support Vector Machine,Thien_uu-8,Enhanced Color+Zernike moments+Edge,0.9597,0.9598,0.9597,0.9597,0.9709
Random Forest,Thien_uu-8,Enhanced Color+Zernike moments+Edge,0.9524,0.9525,0.9524,0.9525,0.9645
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+Zernike moments+Edge2,0.9409,0.9433,0.9409,0.9409,0.9439
Support Vector Machine,Thien_uu-8,Enhanced Color+Zernike moments+Edge2,0.9568,0.957,0.9568,0.9568,0.9709
Random Forest,Thien_uu-8,Enhanced Color+Zernike moments+Edge2,0.9539,0.9539,0.9539,0.9539,0.9624
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+LBP+GLCM,0.8401,0.853,0.8401,0.839,0.8538
Support Vector Machine,Thien_uu-8,Enhanced Color+LBP+GLCM,0.928,0.928,0.928,0.928,0.9233
Random Forest,Thien_uu-8,Enhanced Color+LBP+GLCM,0.8905,0.8907,0.8905,0.8904,0.8886
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+LBP+Edge,0.8617,0.8725,0.8617,0.861,0.8623
Support Vector Machine,Thien_uu-8,Enhanced Color+LBP+Edge,0.9193,0.9196,0.9193,0.9193,0.9219
Random Forest,Thien_uu-8,Enhanced Color+LBP+Edge,0.8963,0.8963,0.8963,0.8962,0.8949
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+LBP+Edge2,0.8444,0.8571,0.8444,0.8434,0.8566
Support Vector Machine,Thien_uu-8,Enhanced Color+LBP+Edge2,0.9193,0.9195,0.9193,0.9193,0.9169
Random Forest,Thien_uu-8,Enhanced Color+LBP+Edge2,0.9063,0.9063,0.9063,0.9063,0.8893
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+GLCM+Edge,0.8617,0.8725,0.8617,0.861,0.8616
Support Vector Machine,Thien_uu-8,Enhanced Color+GLCM+Edge,0.9236,0.9238,0.9236,0.9236,0.9361
Random Forest,Thien_uu-8,Enhanced Color+GLCM+Edge,0.9063,0.9065,0.9063,0.9064,0.8957
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+GLCM+Edge2,0.8617,0.8749,0.8617,0.8608,0.8659
Support Vector Machine,Thien_uu-8,Enhanced Color+GLCM+Edge2,0.9265,0.9267,0.9265,0.9265,0.9312
Random Forest,Thien_uu-8,Enhanced Color+GLCM+Edge2,0.8948,0.8949,0.8948,0.8948,0.8971
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+Edge+Edge2,0.8559,0.8674,0.8559,0.8551,0.8375
Support Vector Machine,Thien_uu-8,Enhanced Color+Edge+Edge2,0.9092,0.9094,0.9092,0.9092,0.9191
Random Forest,Thien_uu-8,Enhanced Color+Edge+Edge2,0.8919,0.8923,0.8919,0.8919,0.8808
K-Nearest Neighbors,Thien_uu-8,Zernike moments+LBP+GLCM,0.938,0.9392,0.938,0.938,0.9432
Support Vector Machine,Thien_uu-8,Zernike moments+LBP+GLCM,0.9467,0.9467,0.9467,0.9467,0.9595
Random Forest,Thien_uu-8,Zernike moments+LBP+GLCM,0.9467,0.9467,0.9467,0.9467,0.9532
K-Nearest Neighbors,Thien_uu-8,Zernike moments+LBP+Edge,0.9366,0.9379,0.9366,0.9366,0.9333
Support Vector Machine,Thien_uu-8,Zernike moments+LBP+Edge,0.9524,0.9525,0.9524,0.9524,0.9546
Random Forest,Thien_uu-8,Zernike moments+LBP+Edge,0.9539,0.9539,0.9539,0.9539,0.9525
K-Nearest Neighbors,Thien_uu-8,Zernike moments+LBP+Edge2,0.9323,0.9337,0.9323,0.9323,0.9375
Support Vector Machine,Thien_uu-8,Zernike moments+LBP+Edge2,0.9496,0.9496,0.9496,0.9496,0.9496
Random Forest,Thien_uu-8,Zernike moments+LBP+Edge2,0.9452,0.9453,0.9452,0.9452,0.9517
K-Nearest Neighbors,Thien_uu-8,Zernike moments+GLCM+Edge,0.9539,0.9543,0.9539,0.9539,0.9532
Support Vector Machine,Thien_uu-8,Zernike moments+GLCM+Edge,0.9496,0.9496,0.9496,0.9496,0.9652
Random Forest,Thien_uu-8,Zernike moments+GLCM+Edge,0.951,0.9511,0.951,0.951,0.9546
K-Nearest Neighbors,Thien_uu-8,Zernike moments+GLCM+Edge2,0.9452,0.9457,0.9452,0.9453,0.9524
Support Vector Machine,Thien_uu-8,Zernike moments+GLCM+Edge2,0.9524,0.9525,0.9524,0.9525,0.9659
Random Forest,Thien_uu-8,Zernike moments+GLCM+Edge2,0.9524,0.9526,0.9524,0.9525,0.9539
K-Nearest Neighbors,Thien_uu-8,Zernike moments+Edge+Edge2,0.938,0.9389,0.938,0.938,0.9397
Support Vector Machine,Thien_uu-8,Zernike moments+Edge+Edge2,0.9452,0.9453,0.9452,0.9453,0.9539
Random Forest,Thien_uu-8,Zernike moments+Edge+Edge2,0.9481,0.9481,0.9481,0.9481,0.9503
K-Nearest Neighbors,Thien_uu-8,LBP+GLCM+Edge,0.7781,0.782,0.7781,0.7777,0.802
Support Vector Machine,Thien_uu-8,LBP+GLCM+Edge,0.8487,0.849,0.8487,0.8487,0.8566
Random Forest,Thien_uu-8,LBP+GLCM+Edge,0.8112,0.8116,0.8112,0.8113,0.8155
K-Nearest Neighbors,Thien_uu-8,LBP+GLCM+Edge2,0.7666,0.7716,0.7666,0.766,0.7864
Support Vector Machine,Thien_uu-8,LBP+GLCM+Edge2,0.83,0.8302,0.83,0.83,0.8368
Random Forest,Thien_uu-8,LBP+GLCM+Edge2,0.8026,0.8034,0.8026,0.8026,0.8077
K-Nearest Neighbors,Thien_uu-8,LBP+Edge+Edge2,0.7622,0.7721,0.7622,0.7608,0.7722
Support Vector Machine,Thien_uu-8,LBP+Edge+Edge2,0.8271,0.8324,0.8271,0.8267,0.8389
Random Forest,Thien_uu-8,LBP+Edge+Edge2,0.7925,0.7942,0.7925,0.7924,0.792
K-Nearest Neighbors,Thien_uu-8,GLCM+Edge+Edge2,0.7752,0.7759,0.7752,0.7752,0.7786
Support Vector Machine,Thien_uu-8,GLCM+Edge+Edge2,0.8271,0.8272,0.8271,0.8271,0.8403
Random Forest,Thien_uu-8,GLCM+Edge+Edge2,0.7853,0.7853,0.7853,0.7853,0.7914
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+Zernike moments+LBP,0.9409,0.9423,0.9409,0.9409,0.9517
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+Zernike moments+LBP,0.9683,0.9684,0.9683,0.9683,0.9695
Random Forest,Thien_uu-8,Basic+Enhanced Color+Zernike moments+LBP,0.9597,0.9597,0.9597,0.9597,0.9631
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+Zernike moments+GLCM,0.9539,0.9542,0.9539,0.9539,0.9588
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+Zernike moments+GLCM,0.9669,0.9669,0.9669,0.9669,0.9737
Random Forest,Thien_uu-8,Basic+Enhanced Color+Zernike moments+GLCM,0.9568,0.9568,0.9568,0.9568,0.9638
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+Zernike moments+Edge,0.9467,0.9478,0.9467,0.9467,0.9532
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+Zernike moments+Edge,0.9654,0.9654,0.9654,0.9654,0.9709
Random Forest,Thien_uu-8,Basic+Enhanced Color+Zernike moments+Edge,0.9611,0.9611,0.9611,0.9611,0.9645
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+Zernike moments+Edge2,0.9481,0.9491,0.9481,0.9481,0.9517
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+Zernike moments+Edge2,0.9669,0.9669,0.9669,0.9669,0.9709
Random Forest,Thien_uu-8,Basic+Enhanced Color+Zernike moments+Edge2,0.9524,0.9525,0.9524,0.9524,0.9631
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+LBP+GLCM,0.9265,0.9285,0.9265,0.9265,0.9461
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+LBP+GLCM,0.9611,0.9612,0.9611,0.9611,0.9659
Random Forest,Thien_uu-8,Basic+Enhanced Color+LBP+GLCM,0.9496,0.9496,0.9496,0.9496,0.9624
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+LBP+Edge,0.9308,0.9321,0.9308,0.9308,0.939
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+LBP+Edge,0.9611,0.9612,0.9611,0.9611,0.9666
Random Forest,Thien_uu-8,Basic+Enhanced Color+LBP+Edge,0.9524,0.9525,0.9524,0.9525,0.9645
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+LBP+Edge2,0.9294,0.9311,0.9294,0.9294,0.9397
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+LBP+Edge2,0.9611,0.9612,0.9611,0.9611,0.9673
Random Forest,Thien_uu-8,Basic+Enhanced Color+LBP+Edge2,0.9496,0.9496,0.9496,0.9496,0.9631
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+GLCM+Edge,0.9337,0.935,0.9337,0.9337,0.9418
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+GLCM+Edge,0.9611,0.9612,0.9611,0.9611,0.9659
Random Forest,Thien_uu-8,Basic+Enhanced Color+GLCM+Edge,0.9553,0.9553,0.9553,0.9553,0.961
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+GLCM+Edge2,0.9409,0.9418,0.9409,0.9409,0.9446
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+GLCM+Edge2,0.9597,0.9597,0.9597,0.9596,0.9666
Random Forest,Thien_uu-8,Basic+Enhanced Color+GLCM+Edge2,0.9524,0.9525,0.9524,0.9525,0.9631
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+Edge+Edge2,0.9207,0.9231,0.9207,0.9207,0.939
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+Edge+Edge2,0.9597,0.9597,0.9597,0.9597,0.9638
Random Forest,Thien_uu-8,Basic+Enhanced Color+Edge+Edge2,0.9539,0.9539,0.9539,0.9539,0.9638
K-Nearest Neighbors,Thien_uu-8,Basic+Zernike moments+LBP+GLCM,0.9539,0.954,0.9539,0.9539,0.956
Support Vector Machine,Thien_uu-8,Basic+Zernike moments+LBP+GLCM,0.9568,0.9568,0.9568,0.9568,0.9666
Random Forest,Thien_uu-8,Basic+Zernike moments+LBP+GLCM,0.9582,0.9582,0.9582,0.9582,0.9567
K-Nearest Neighbors,Thien_uu-8,Basic+Zernike moments+LBP+Edge,0.9438,0.9445,0.9438,0.9438,0.9425
Support Vector Machine,Thien_uu-8,Basic+Zernike moments+LBP+Edge,0.9582,0.9585,0.9582,0.9582,0.9624
Random Forest,Thien_uu-8,Basic+Zernike moments+LBP+Edge,0.9496,0.9496,0.9496,0.9496,0.9553
K-Nearest Neighbors,Thien_uu-8,Basic+Zernike moments+LBP+Edge2,0.9438,0.9443,0.9438,0.9438,0.9482
Support Vector Machine,Thien_uu-8,Basic+Zernike moments+LBP+Edge2,0.9553,0.9556,0.9553,0.9553,0.9617
Random Forest,Thien_uu-8,Basic+Zernike moments+LBP+Edge2,0.9539,0.9539,0.9539,0.9539,0.9532
K-Nearest Neighbors,Thien_uu-8,Basic+Zernike moments+GLCM+Edge,0.951,0.9513,0.951,0.951,0.9532
Support Vector Machine,Thien_uu-8,Basic+Zernike moments+GLCM+Edge,0.9553,0.9554,0.9553,0.9553,0.9659
Random Forest,Thien_uu-8,Basic+Zernike moments+GLCM+Edge,0.951,0.951,0.951,0.951,0.9574
K-Nearest Neighbors,Thien_uu-8,Basic+Zernike moments+GLCM+Edge2,0.9481,0.9483,0.9481,0.9481,0.956
Support Vector Machine,Thien_uu-8,Basic+Zernike moments+GLCM+Edge2,0.951,0.951,0.951,0.951,0.9688
Random Forest,Thien_uu-8,Basic+Zernike moments+GLCM+Edge2,0.951,0.951,0.951,0.951,0.9588
K-Nearest Neighbors,Thien_uu-8,Basic+Zernike moments+Edge+Edge2,0.9409,0.9413,0.9409,0.9409,0.9461
Support Vector Machine,Thien_uu-8,Basic+Zernike moments+Edge+Edge2,0.9597,0.9598,0.9597,0.9596,0.9624
Random Forest,Thien_uu-8,Basic+Zernike moments+Edge+Edge2,0.9553,0.9554,0.9553,0.9553,0.956
K-Nearest Neighbors,Thien_uu-8,Basic+LBP+GLCM+Edge,0.9424,0.9431,0.9424,0.9424,0.9383
Support Vector Machine,Thien_uu-8,Basic+LBP+GLCM+Edge,0.9568,0.9568,0.9568,0.9568,0.9631
Random Forest,Thien_uu-8,Basic+LBP+GLCM+Edge,0.9452,0.9452,0.9452,0.9452,0.9524
K-Nearest Neighbors,Thien_uu-8,Basic+LBP+GLCM+Edge2,0.9424,0.9431,0.9424,0.9424,0.9397
Support Vector Machine,Thien_uu-8,Basic+LBP+GLCM+Edge2,0.9568,0.9569,0.9568,0.9568,0.9631
Random Forest,Thien_uu-8,Basic+LBP+GLCM+Edge2,0.951,0.951,0.951,0.951,0.9532
K-Nearest Neighbors,Thien_uu-8,Basic+LBP+Edge+Edge2,0.9236,0.925,0.9236,0.9236,0.9319
Support Vector Machine,Thien_uu-8,Basic+LBP+Edge+Edge2,0.9467,0.9467,0.9467,0.9467,0.9595
Random Forest,Thien_uu-8,Basic+LBP+Edge+Edge2,0.9452,0.9453,0.9452,0.9452,0.9525
K-Nearest Neighbors,Thien_uu-8,Basic+GLCM+Edge+Edge2,0.9337,0.9345,0.9337,0.9337,0.9404
Support Vector Machine,Thien_uu-8,Basic+GLCM+Edge+Edge2,0.9582,0.9584,0.9582,0.9582,0.9659
Random Forest,Thien_uu-8,Basic+GLCM+Edge+Edge2,0.9481,0.9482,0.9481,0.9481,0.9525
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+Zernike moments+LBP+GLCM,0.9323,0.935,0.9323,0.9322,0.9475
Support Vector Machine,Thien_uu-8,Enhanced Color+Zernike moments+LBP+GLCM,0.9597,0.9597,0.9597,0.9597,0.9695
Random Forest,Thien_uu-8,Enhanced Color+Zernike moments+LBP+GLCM,0.9539,0.9539,0.9539,0.9539,0.9638
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+Zernike moments+LBP+Edge,0.9265,0.9292,0.9265,0.9265,0.9383
Support Vector Machine,Thien_uu-8,Enhanced Color+Zernike moments+LBP+Edge,0.9582,0.9582,0.9582,0.9582,0.9702
Random Forest,Thien_uu-8,Enhanced Color+Zernike moments+LBP+Edge,0.9539,0.9539,0.9539,0.9539,0.9645
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+Zernike moments+LBP+Edge2,0.9294,0.9325,0.9294,0.9293,0.9404
Support Vector Machine,Thien_uu-8,Enhanced Color+Zernike moments+LBP+Edge2,0.9625,0.9625,0.9625,0.9625,0.9702
Random Forest,Thien_uu-8,Enhanced Color+Zernike moments+LBP+Edge2,0.9539,0.9539,0.9539,0.9539,0.9638
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+Zernike moments+GLCM+Edge,0.9395,0.941,0.9395,0.9395,0.9439
Support Vector Machine,Thien_uu-8,Enhanced Color+Zernike moments+GLCM+Edge,0.9625,0.9626,0.9625,0.9625,0.9688
Random Forest,Thien_uu-8,Enhanced Color+Zernike moments+GLCM+Edge,0.951,0.951,0.951,0.951,0.9659
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+Zernike moments+GLCM+Edge2,0.9366,0.9385,0.9366,0.9366,0.9439
Support Vector Machine,Thien_uu-8,Enhanced Color+Zernike moments+GLCM+Edge2,0.964,0.964,0.964,0.964,0.9702
Random Forest,Thien_uu-8,Enhanced Color+Zernike moments+GLCM+Edge2,0.9539,0.9539,0.9539,0.9539,0.9631
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+Zernike moments+Edge+Edge2,0.9337,0.9359,0.9337,0.9337,0.939
Support Vector Machine,Thien_uu-8,Enhanced Color+Zernike moments+Edge+Edge2,0.9568,0.957,0.9568,0.9568,0.9702
Random Forest,Thien_uu-8,Enhanced Color+Zernike moments+Edge+Edge2,0.9539,0.954,0.9539,0.9539,0.9638
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+LBP+GLCM+Edge,0.8617,0.8741,0.8617,0.8608,0.8659
Support Vector Machine,Thien_uu-8,Enhanced Color+LBP+GLCM+Edge,0.9251,0.9252,0.9251,0.9251,0.9312
Random Forest,Thien_uu-8,Enhanced Color+LBP+GLCM+Edge,0.9006,0.9006,0.9006,0.9006,0.8985
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+LBP+GLCM+Edge2,0.8573,0.8685,0.8573,0.8566,0.8595
Support Vector Machine,Thien_uu-8,Enhanced Color+LBP+GLCM+Edge2,0.9308,0.9309,0.9308,0.9308,0.9297
Random Forest,Thien_uu-8,Enhanced Color+LBP+GLCM+Edge2,0.9063,0.9065,0.9063,0.9063,0.9028
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+LBP+Edge+Edge2,0.8473,0.8609,0.8473,0.8462,0.8552
Support Vector Machine,Thien_uu-8,Enhanced Color+LBP+Edge+Edge2,0.9107,0.9112,0.9107,0.9107,0.9233
Random Forest,Thien_uu-8,Enhanced Color+LBP+Edge+Edge2,0.9035,0.9035,0.9035,0.9034,0.8949
K-Nearest Neighbors,Thien_uu-8,Enhanced Color+GLCM+Edge+Edge2,0.8588,0.8696,0.8588,0.8581,0.8637
Support Vector Machine,Thien_uu-8,Enhanced Color+GLCM+Edge+Edge2,0.9179,0.9183,0.9179,0.9179,0.9347
Random Forest,Thien_uu-8,Enhanced Color+GLCM+Edge+Edge2,0.9006,0.9006,0.9006,0.9006,0.8942
K-Nearest Neighbors,Thien_uu-8,Zernike moments+LBP+GLCM+Edge,0.9366,0.9385,0.9366,0.9366,0.9382
Support Vector Machine,Thien_uu-8,Zernike moments+LBP+GLCM+Edge,0.951,0.951,0.951,0.951,0.9631
Random Forest,Thien_uu-8,Zernike moments+LBP+GLCM+Edge,0.9452,0.9453,0.9452,0.9453,0.9503
K-Nearest Neighbors,Thien_uu-8,Zernike moments+LBP+GLCM+Edge2,0.9323,0.9337,0.9323,0.9323,0.9432
Support Vector Machine,Thien_uu-8,Zernike moments+LBP+GLCM+Edge2,0.9524,0.9525,0.9524,0.9524,0.9638
Random Forest,Thien_uu-8,Zernike moments+LBP+GLCM+Edge2,0.9438,0.944,0.9438,0.9438,0.9524
K-Nearest Neighbors,Thien_uu-8,Zernike moments+LBP+Edge+Edge2,0.9294,0.9314,0.9294,0.9294,0.939
Support Vector Machine,Thien_uu-8,Zernike moments+LBP+Edge+Edge2,0.951,0.951,0.951,0.951,0.9532
Random Forest,Thien_uu-8,Zernike moments+LBP+Edge+Edge2,0.9496,0.9496,0.9496,0.9496,0.9532
K-Nearest Neighbors,Thien_uu-8,Zernike moments+GLCM+Edge+Edge2,0.9496,0.9499,0.9496,0.9496,0.9482
Support Vector Machine,Thien_uu-8,Zernike moments+GLCM+Edge+Edge2,0.9467,0.9467,0.9467,0.9467,0.9624
Random Forest,Thien_uu-8,Zernike moments+GLCM+Edge+Edge2,0.9524,0.9525,0.9524,0.9525,0.9539
K-Nearest Neighbors,Thien_uu-8,LBP+GLCM+Edge+Edge2,0.7781,0.7824,0.7781,0.7777,0.8055
Support Vector Machine,Thien_uu-8,LBP+GLCM+Edge+Edge2,0.8516,0.8518,0.8516,0.8516,0.8588
Random Forest,Thien_uu-8,LBP+GLCM+Edge+Edge2,0.7925,0.7934,0.7925,0.7925,0.8077
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+Zernike moments+LBP+GLCM,0.9496,0.9501,0.9496,0.9496,0.9546
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+Zernike moments+LBP+GLCM,0.9669,0.9669,0.9669,0.9669,0.9723
Random Forest,Thien_uu-8,Basic+Enhanced Color+Zernike moments+LBP+GLCM,0.9539,0.9539,0.9539,0.9539,0.9617
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+Zernike moments+LBP+Edge,0.9438,0.9449,0.9438,0.9438,0.9532
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+Zernike moments+LBP+Edge,0.964,0.964,0.964,0.964,0.973
Random Forest,Thien_uu-8,Basic+Enhanced Color+Zernike moments+LBP+Edge,0.9539,0.9539,0.9539,0.9539,0.9652
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+Zernike moments+LBP+Edge2,0.9438,0.9449,0.9438,0.9438,0.9546
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+Zernike moments+LBP+Edge2,0.9654,0.9655,0.9654,0.9654,0.9723
Random Forest,Thien_uu-8,Basic+Enhanced Color+Zernike moments+LBP+Edge2,0.9582,0.9582,0.9582,0.9582,0.9652
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+Zernike moments+GLCM+Edge,0.9481,0.9491,0.9481,0.9481,0.9546
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+Zernike moments+GLCM+Edge,0.9669,0.9669,0.9669,0.9669,0.973
Random Forest,Thien_uu-8,Basic+Enhanced Color+Zernike moments+GLCM+Edge,0.9539,0.9539,0.9539,0.9539,0.9624
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+Zernike moments+GLCM+Edge2,0.9481,0.9489,0.9481,0.9481,0.9567
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+Zernike moments+GLCM+Edge2,0.9669,0.9669,0.9669,0.9669,0.973
Random Forest,Thien_uu-8,Basic+Enhanced Color+Zernike moments+GLCM+Edge2,0.951,0.951,0.951,0.951,0.9617
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+Zernike moments+Edge+Edge2,0.9438,0.9449,0.9438,0.9438,0.9524
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+Zernike moments+Edge+Edge2,0.9654,0.9654,0.9654,0.9654,0.9723
Random Forest,Thien_uu-8,Basic+Enhanced Color+Zernike moments+Edge+Edge2,0.9539,0.9539,0.9539,0.9539,0.9631
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+LBP+GLCM+Edge,0.9323,0.934,0.9323,0.9323,0.9397
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+LBP+GLCM+Edge,0.9625,0.9627,0.9625,0.9625,0.9666
Random Forest,Thien_uu-8,Basic+Enhanced Color+LBP+GLCM+Edge,0.9524,0.9525,0.9524,0.9525,0.9624
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+LBP+GLCM+Edge2,0.9337,0.935,0.9337,0.9337,0.9404
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+LBP+GLCM+Edge2,0.9625,0.9626,0.9625,0.9625,0.9659
Random Forest,Thien_uu-8,Basic+Enhanced Color+LBP+GLCM+Edge2,0.951,0.951,0.951,0.951,0.9617
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+LBP+Edge+Edge2,0.9222,0.9243,0.9222,0.9222,0.934
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+LBP+Edge+Edge2,0.9597,0.9597,0.9597,0.9596,0.9673
Random Forest,Thien_uu-8,Basic+Enhanced Color+LBP+Edge+Edge2,0.951,0.951,0.951,0.951,0.9631
K-Nearest Neighbors,Thien_uu-8,Basic+Enhanced Color+GLCM+Edge+Edge2,0.9222,0.9247,0.9222,0.9221,0.9376
Support Vector Machine,Thien_uu-8,Basic+Enhanced Color+GLCM+Edge+Edge2,0.9611,0.9612,0.9611,0.9611,0.9666
Random Forest,Thien_uu-8,Basic+Enhanced Color+GLCM+Edge+Edge2,0.9524,0.9525,0.9524,0.9525,0.9624
K-Nearest Neighbors,Thien_uu-8,Basic+Zernike moments+LBP+GLCM+Edge,0.9481,0.9487,0.9481,0.9481,0.9503
Support Vector Machine,Thien_uu-8,Basic+Zernike moments+LBP+GLCM+Edge,0.9524,0.9525,0.9524,0.9524,0.9674
Random Forest,Thien_uu-8,Basic+Zernike moments+LBP+GLCM+Edge,0.9496,0.9496,0.9496,0.9496,0.9574
K-Nearest Neighbors,Thien_uu-8,Basic+Zernike moments+LBP+GLCM+Edge2,0.9481,0.9485,0.9481,0.9481,0.9503
Support Vector Machine,Thien_uu-8,Basic+Zernike moments+LBP+GLCM+Edge2,0.9524,0.9525,0.9524,0.9524,0.9681
Random Forest,Thien_uu-8,Basic+Zernike moments+LBP+GLCM+Edge2,0.9496,0.9496,0.9496,0.9496,0.9567
K-Nearest Neighbors,Thien_uu-8,Basic+Zernike moments+LBP+Edge+Edge2,0.9409,0.9416,0.9409,0.9409,0.9446
Support Vector Machine,Thien_uu-8,Basic+Zernike moments+LBP+Edge+Edge2,0.9553,0.9556,0.9553,0.9553,0.961
Random Forest,Thien_uu-8,Basic+Zernike moments+LBP+Edge+Edge2,0.9496,0.9496,0.9496,0.9496,0.9553
K-Nearest Neighbors,Thien_uu-8,Basic+Zernike moments+GLCM+Edge+Edge2,0.9467,0.9472,0.9467,0.9467,0.9524
