Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments,0.9373970345963756,0.9384730052501667,0.9373970345963756,0.9373613346218072,0.9378790877158265
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments,0.913509060955519,0.9148964431886055,0.913509060955519,0.9134412287019911,0.9183866818384209
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP,0.8690280065897859,0.8818281883230342,0.8690280065897859,0.8679440652195487,0.8582991144313066
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP,0.9168039538714992,0.9200171534965654,0.9168039538714992,0.9166510992786783,0.9179826514289484
Random Forest,BC-15,Basic+Enhanced Color+LBP,0.9069192751235585,0.9084459315160286,0.9069192751235585,0.9068374186027421,0.8964626725374758
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+GLCM,0.8797364085667215,0.8886909886863341,0.8797364085667215,0.879057016293653,0.8749517637164201
Support Vector Machine,BC-15,Basic+Enhanced Color+GLCM,0.9258649093904449,0.9279216301893433,0.9258649093904449,0.9257803099538044,0.9196127904483914
Random Forest,BC-15,Basic+Enhanced Color+GLCM,0.9077429983525536,0.9086193545658533,0.9077429983525536,0.9076974059383582,0.8964618479856199
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+GIST,0.8047775947281713,0.8059336897517118,0.8047775947281713,0.8046059133526541,0.7819818928412408
Support Vector Machine,BC-15,Basic+Enhanced Color+GIST,0.8616144975288303,0.861617672230234,0.8616144975288303,0.8616137463420724,0.8404360230214879
Random Forest,BC-15,Basic+Enhanced Color+GIST,0.9003294892915981,0.9011303400921807,0.9003294892915981,0.9002838207339573,0.8891596167482974
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP,0.8640856672158155,0.8771913223886378,0.8640856672158155,0.8629191926089204,0.8578876630551295
Support Vector Machine,BC-15,Basic+Zernike moments+LBP,0.92833607907743,0.9293215111860368,0.92833607907743,0.9282979865466201,0.9252906545292634
Random Forest,BC-15,Basic+Zernike moments+LBP,0.8871499176276771,0.889917331365522,0.8871499176276771,0.8869582543721622,0.8781947261663285
K-Nearest Neighbors,BC-15,Basic+Zernike moments+GLCM,0.8756177924217463,0.8854895271538875,0.8756177924217463,0.8748352932851347,0.8716939593331023
Support Vector Machine,BC-15,Basic+Zernike moments+GLCM,0.9275123558484349,0.9295768115173346,0.9275123558484349,0.9274296363992756,0.9321921535645377
Random Forest,BC-15,Basic+Zernike moments+GLCM,0.886326194398682,0.8887714540496306,0.886326194398682,0.8861556466146747,0.8810328336549086
K-Nearest Neighbors,BC-15,Basic+Zernike moments+GIST,0.8130148270181219,0.8227192500189018,0.8130148270181219,0.811632744860613,0.7974051353089596
Support Vector Machine,BC-15,Basic+Zernike moments+GIST,0.8805601317957167,0.8821500014577683,0.8805601317957167,0.8804430789776015,0.8623550850112963
Random Forest,BC-15,Basic+Zernike moments+GIST,0.8706754530477759,0.876762734844975,0.8706754530477759,0.8701667594019751,0.8660160952522304
K-Nearest Neighbors,BC-15,Basic+LBP+GLCM,0.8270181219110379,0.843303327679768,0.8270181219110379,0.8249806607415333,0.8217558007223074
Support Vector Machine,BC-15,Basic+LBP+GLCM,0.8986820428336079,0.902243627230344,0.8986820428336079,0.8984660800523752,0.881037780966045
Random Forest,BC-15,Basic+LBP+GLCM,0.8616144975288303,0.8659643651773067,0.8616144975288303,0.8612167698548573,0.8587023202889229
K-Nearest Neighbors,BC-15,Basic+LBP+GIST,0.7602965403624382,0.7628171444987907,0.7602965403624382,0.7597483615318663,0.7393476145714803
Support Vector Machine,BC-15,Basic+LBP+GIST,0.8121911037891268,0.8123192754885366,0.8121911037891268,0.8121758109013498,0.7848043338445554
Random Forest,BC-15,Basic+LBP+GIST,0.8756177924217463,0.8799956073882059,0.8756177924217463,0.8752712583466253,0.858292518016458
K-Nearest Neighbors,BC-15,Basic+GLCM+GIST,0.7742998352553542,0.7750838212265242,0.7742998352553542,0.7741527290386526,0.7478817262817659
Support Vector Machine,BC-15,Basic+GLCM+GIST,0.8303130148270181,0.8303130148270181,0.8303130148270181,0.8303130148270181,0.808366727683504
Random Forest,BC-15,Basic+GLCM+GIST,0.872322899505766,0.8758935445941942,0.872322899505766,0.8720309142180045,0.8660144461485183
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP,0.8764415156507414,0.888778093115335,0.8764415156507414,0.8754743775307118,0.8883482577219282
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP,0.9299835255354201,0.931593857075713,0.9299835255354201,0.9299219520463103,0.9313849172974489
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP,0.8953871499176277,0.8961785668493824,0.8953871499176277,0.8953392168034097,0.9127055195501246
