texture_mean,texture_std,texture_uniformity,texture_third_moment,mean_r,mean_g,mean_b,red_sqr,green_sqr,blue_sqr,area,length,width,ratio,major_axis_length,minor_axis_length,convex_hull_area,convex_hull_perimeter,Label
143.90835484403578,24.667882656083506,0.04006244,6530.987356544463,169.57691912972086,142.20874384236453,85.32060755336617,13.022170292609479,11.925130768354892,9.23691547830585,12788,228,79,2.8860759493670884,214.8910369873047,76.21073913574219,12850.5,496.44721925258636,0
137.8761924495484,29.478547011005833,0.027881041,10370.54506598874,159.6573676680973,137.50393419170243,82.58565808297568,12.635559649975828,11.726207152856478,9.087665161248827,11079,229,67,3.417910447761194,218.33599853515625,65.7872085571289,11203.0,493.19959008693695,0
150.21353415902558,23.162293229413187,0.036722623,3772.5088859194175,172.32459244959244,149.00761475761476,98.43157443157443,13.127246186828083,12.206867524373923,9.921268791418486,12038,218,80,2.725,201.4162139892578,76.46159362792969,12116.0,478.0896315574646,0
145.69347056693368,23.833145563348417,0.040198468,6109.413710104689,171.07567366066675,144.28464160187454,86.35051656193419,13.079589965311097,12.011854211647531,9.292497864510606,12353,225,78,2.8846153846153846,210.77304077148438,75.3419189453125,12432.0,488.87822711467743,0
145.1629051111595,29.96366732278695,0.039996345,3534.877961791075,165.11344537815125,143.52827130852341,101.13079231692677,12.849647675253639,11.980328514215435,10.056380676810459,9833,236,66,3.5757575757575757,219.1224822998047,57.36800765991211,10000.0,491.49382960796356,0
142.44298325129785,26.45739649645882,0.036853246,5663.562223184199,166.3311403508772,141.55707846003898,84.2624269005848,12.896943062248402,11.89777619809849,9.179456786792167,10165,223,68,3.2794117647058822,208.33494567871094,63.866172790527344,10363.5,472.61395716667175,0
144.97020774417615,26.503316408804416,0.03784828,6212.109543159242,168.07306375695336,144.08467051775781,88.91425973470261,12.964299586053746,12.003527419794475,9.429435812110002,11829,245,71,3.4507042253521125,229.05581665039062,66.59009552001953,12000.0,518.0550125837326,0
146.85012429242488,24.9546520060679,0.041556977,6369.637337625954,171.97215374271627,145.26686463469295,89.167861945316,13.113815377025722,12.05267043582844,9.44287360634018,11315,190,88,2.159090909090909,173.46473693847656,82.21431732177734,11440.5,431.0726970434189,0
141.59377765105455,29.843069182309577,0.028968276,8389.554765860228,163.87488584474886,140.23675799086757,90.19086757990867,12.80136265577805,11.842160191065968,9.496887257407485,11279,217,75,2.8933333333333335,197.41427612304688,74.12094116210938,11420.5,467.2589349746704,0
138.6998063953033,31.660644296063335,0.03384141,3657.097430657541,162.1501564756861,136.62566201251806,87.80753490611458,12.733819398581327,11.688698046083578,9.370567480473879,9627,243,62,3.9193548387096775,224.6812744140625,55.25135040283203,9804.0,504.20073187351227,0
150.5811319272325,21.137609996676733,0.0380686,3112.000575516743,169.23414754502838,150.9671848013817,99.60070729500781,13.009002557653234,12.286870423398373,9.980015395529598,7630,190,58,3.2758620689655173,187.96824645996094,52.303565979003906,7726.0,409.63980662822723,0
149.47185207713483,21.909062368644907,0.042171337,4398.3807085792005,171.4385198135198,148.9878787878788,94.29935897435898,13.093453318873513,12.206059101441333,9.710785703245591,11221,192,85,2.2588235294117647,177.48817443847656,80.08988189697266,11329.0,433.96812200546265,0
143.66082417601137,25.87073292916268,0.035363443,6077.882698750533,168.09084928229666,142.84928229665073,83.70101674641148,12.964985510300297,11.951957257982926,9.148825976397818,10839,216,71,3.0422535211267605,203.17991638183594,70.14847564697266,10877.0,468.77075695991516,0
149.43069124461908,22.148615158389628,0.042995464,5236.585066981517,173.62254464285715,148.42399553571428,91.13543526785715,13.176590782249297,12.182938706884899,9.546488111753828,11873,220,75,2.933333333333333,211.43521118164062,71.91568756103516,11988.5,482.0221036672592,0
148.00288647545676,23.618984167272863,0.039319605,5551.217621183392,168.0,147.3240997229917,99.08766158818098,12.96148139681572,12.137713941389116,9.954278556891051,11182,223,72,3.0972222222222223,210.54588317871094,68.12461853027344,11383.5,484.22919046878815,0
145.10008472024128,25.870514896074667,0.039529134,4583.475126007692,166.7168589924008,144.07858148043906,93.73526597241768,12.911888281440511,12.003273781782996,9.681697473708713,11312,205,80,2.5625,191.54214477539062,75.62309265136719,11419.0,452.60369169712067,0
153.9843599587366,18.48940312051665,0.03544178,3150.6866835444134,173.52608695652174,154.00428743961353,102.68013285024155,13.172930082427438,12.409846390653414,10.133120587965069,11591,207,78,2.6538461538461537,199.5015411376953,74.1454086303711,11713.0,462.9856495857239,0
147.96045272768606,24.19805901208387,0.03245162,4854.236699215166,172.78263720742535,147.1395782889427,86.9907183212268,13.144680947342364,12.13011039887695,9.326881489609846,13139,232,79,2.9367088607594938,217.23880004882812,79.50308227539062,13252.0,505.0585607290268,0
137.3494795291772,32.507788850691675,0.030033853,7972.47356802116,163.81466925275623,134.9054205798285,80.45906492445896,12.799010479437706,11.614879275301508,8.969897709810239,12308,244,75,3.2533333333333334,222.13800048828125,72.3229751586914,12526.0,518.303008556366,0
144.67045119609975,23.769140736296453,0.04157646,5430.9347358397345,165.51770833333333,144.0171052631579,93.27154605263158,12.865368565778958,12.000712698134135,9.657719505795951,11634,240,71,3.380281690140845,225.02552795410156,69.57994079589844,11719.0,511.7701450586319,0
148.3190415095305,21.44196627042865,0.040445816,4712.264149061874,169.78986486486485,147.4527027027027,96.40214987714988,13.030344004087722,12.143010446454483,9.818459648903685,10775,182,84,2.1666666666666665,170.83169555664062,80.09750366210938,10861.0,420.53989589214325,0
154.43361639640352,22.31159748544893,0.037429556,2631.2970559755922,174.79394189161343,154.10488357716875,102.69132495363692,13.220965996916165,12.413898806465628,10.13367282645522,9039,206,65,3.169230769230769,191.03041076660156,59.691802978515625,9094.5,440.3180019855499,0
148.95416005156585,22.93655309508421,0.037580535,4312.822469309953,172.06768388106417,148.28462441314554,91.80425143453313,13.117457218571905,12.177217433106199,9.581453513665508,9950,211,68,3.1029411764705883,199.48597717285156,64.40641021728516,10124.0,453.0952123403549,0
150.4597398230435,24.308446345929237,0.04016594,4356.87830805157,171.5971051464064,149.29048358473824,101.11152395740905,13.099507820769695,12.218448493353739,10.055422614560218,11359,196,88,2.227272727272727,174.5713653564453,81.68782043457031,11562.0,437.1673789024353,0
146.76605895251123,22.979276944695055,0.039603427,3841.411148367817,167.6411499247869,146.1293108251156,95.28257841662489,12.94763105455152,12.08839570932039,9.761279548124051,11583,191,89,2.146067415730337,176.16201782226562,83.83379364013672,11705.5,432.802384018898,0
148.7783071306185,24.951891150557493,0.04278607,3924.1271619284125,167.4394811726557,148.3170538018662,102.22652372443915,12.939840848041976,12.178548920206635,10.110713314323533,9129,215,65,3.3076923076923075,199.14422607421875,57.318321228027344,9217.0,456.103538274765,0
146.9943874654491,24.539878323920167,0.04114603,4657.316370761577,167.20987918314978,146.614187961082,95.93296268576927,12.930965902945912,12.108434579295624,9.794537390084805,11872,196,89,2.202247191011236,179.2895050048828,84.16316223144531,12008.5,441.53187906742096,0
148.28045360070246,22.6193449448961,0.034278426,3326.4607967955335,168.7297794117647,147.85520833333334,96.80294117647058,12.989602742646316,12.159572703567068,9.83884856964831,10850,204,76,2.6842105263157894,194.05055236816406,71.95960998535156,10969.5,451.8424210548401,0
143.80191386204388,27.676912114980098,0.03414845,7976.540049273268,168.37113003095976,142.97307607253427,83.58928571428571,12.975790150544196,11.957134944146707,9.142717632864187,11657,235,71,3.3098591549295775,225.8924102783203,66.56473541259766,11770.0,503.31994795799255,0
140.60064007955953,27.511188508951804,0.031074574,8132.883121702673,165.04550119739994,139.11346789827803,84.05074694948112,12.8470035882847,11.794637251661369,9.167919444971204,11216,233,69,3.3768115942028984,219.05184936523438,68.57718658447266,11344.0,500.2120370864868,0
146.69265879126033,27.27985744047712,0.04122753,6570.115490698548,171.04658018867926,145.88288620283018,86.98511202830188,13.078477747378678,12.078198797951215,9.326580939889059,8244,212,60,3.533333333333333,198.65660095214844,53.6483268737793,8335.0,443.7791472673416,0
